
path = /Users/lap13494/workspace/ppl-extra-final/java-small/test/hadoop-splitted/TestTFileLzoCodecsStreams_setUp_0.java
method_name = setUp
method_body = public void setUp() throws IOException { skip = !(Algorithm.LZO.isSupported()); if (skip) { System.out.println("Skipped"); } init(Compression.Algorithm.LZO.getName(), "memcmp"); if (!skip) super.setUp(); }
predict, score, loss = setUp, 0.8938283920288086, 0.25786319375038147

Trace of simplified code(s):
{"time": "2023-09-24 02:12:42.556228", "score": "0.8938", "loss": "0.2579", "code": "public void setUp() throws IOException { skip = !(Algorithm.LZO.isSupported()); if (skip) { System.out.println(\"Skipped\"); } init(Compression.Algorithm.LZO.getName(), \"memcmp\"); if (!skip) super.setUp(); }", "n_tokens": 86, "n_pass": [1, 1, 1]}
{"time": "2023-09-24 02:12:44.522756", "score": "0.9382", "loss": "0.1412", "code": "public void setUp() throws IOException { skip = !(Algorithm.LZO.isSupported());  { System.out.println(\"Skipped\"); } init(Compression.Algorithm.LZO.getName(), \"memcmp\"); if (!skip) super.setUp(); }", "n_tokens": 81, "n_pass": [50, 2, 2]}
{"time": "2023-09-24 02:12:46.343590", "score": "0.9623", "loss": "0.0847", "code": "public void setUp() throws IOException { skip = !(Algorithm.LZO.isSupported());  { System.out.println(); } init(Compression.Algorithm.LZO.getName(), \"memcmp\"); if (!skip) super.setUp(); }", "n_tokens": 78, "n_pass": [100, 3, 3]}
{"time": "2023-09-24 02:12:49.847302", "score": "0.9623", "loss": "0.0847", "code": "void setUp() throws IOException { skip = !(Algorithm.LZO.isSupported());  { System.out.println(); } init(Compression.Algorithm.LZO.getName(), \"memcmp\"); if (!skip) super.setUp(); }", "n_tokens": 76, "n_pass": [114, 5, 4]}
{"time": "2023-09-24 02:12:51.945538", "score": "0.9547", "loss": "0.1018", "code": "void setUp() throws IOException { skip = !(AlgorithmisSupported());  { System.out.println(); } init(Compression.Algorithm.LZO.getName(), \"memcmp\"); if (!skip) super.setUp(); }", "n_tokens": 73, "n_pass": [124, 6, 5]}
{"time": "2023-09-24 02:12:53.714656", "score": "0.9677", "loss": "0.072", "code": "void setUp() throws IOException { skip = !(Algorithm);  { System.out.println(); } init(Compression.Algorithm.LZO.getName(), \"memcmp\"); if (!skip) super.setUp(); }", "n_tokens": 70, "n_pass": [125, 7, 6]}
{"time": "2023-09-24 02:13:01.712498", "score": "0.9677", "loss": "0.072", "code": "void setUp() throws IOException { skip = !(Algorithm); { System.out.println(); } init(Compression.Algorithm.LZO.getName(), \"memcmp\"); if (!skip) super.setUp(); }", "n_tokens": 69, "n_pass": [207, 9, 7]}
