
path = /Users/lap13494/workspace/ppl-extra-final/java-small/test/hadoop-splitted/LightWeightLinkedSet_next_0.java
method_name = next
method_body = public T next() { if (modification != startModification) { throw new ConcurrentModificationException("modification=" + modification + " != startModification = " + startModification); } if (next == null) { throw new NoSuchElementException(); } final T e = next.element; next = next.after; return e; }
predict, score, loss = next, 0.777588963508606, 0.37107494473457336

Trace of simplified code(s):
{"time": "2023-09-24 03:09:02.803462", "score": "0.7776", "loss": "0.3711", "code": "public T next() { if (modification != startModification) { throw new ConcurrentModificationException(\"modification=\" + modification + \" != startModification = \" + startModification); } if (next == null) { throw new NoSuchElementException(); } final T e = next.element; next = next.after; return e; }", "n_tokens": 111, "n_pass": [1, 1, 1]}
{"time": "2023-09-24 03:09:05.028038", "score": "0.7343", "loss": "0.4517", "code": "public T next() { if (modification != startModification) { throw new ConcurrentModificationException(\"modification=\" + modification + \" \" + startModification); } if (next == null) { throw new NoSuchElementException(); } final T e = next.element; next = next.after; return e; }", "n_tokens": 104, "n_pass": [50, 2, 2]}
{"time": "2023-09-24 03:09:06.853598", "score": "0.7895", "loss": "0.4054", "code": "public T next() { if (modification != startModification) { throw new ConcurrentModificationException(\"modification=\" + modification + \" \" + startModification); } if (next == null) { throw new NoSuchElementException(); }  next.element; next = next.after; return e; }", "n_tokens": 97, "n_pass": [55, 3, 3]}
{"time": "2023-09-24 03:09:08.745667", "score": "0.7515", "loss": "0.4694", "code": "public T next() { if (modification != startModification) { throw new ConcurrentModificationException(\"modification=\" + modification + \" \" + startModification); } if (next == null) { throw new NoSuchElementException(); }   next = next.after; return e; }", "n_tokens": 93, "n_pass": [99, 4, 4]}
{"time": "2023-09-24 03:09:10.499613", "score": "0.5625", "loss": "0.7866", "code": "public T next() { if (modification != startModification) { throw new ConcurrentModificationException(\"modification=\" + modification + \" \" + startModification); } if (next == null) { throw new NoSuchElementException(); }   next.after; return e; }", "n_tokens": 89, "n_pass": [100, 5, 5]}
{"time": "2023-09-24 03:09:14.041611", "score": "0.486", "loss": "1.0834", "code": "public T next() { if (modification != startModification) { throw new ConcurrentModificationException(\"modification=\" + modification + \" \" + startModification); } if (next == null) { throw new NoSuchElementException(); }   next.aftere; }", "n_tokens": 85, "n_pass": [102, 7, 6]}
{"time": "2023-09-24 03:09:16.110051", "score": "0.5304", "loss": "1.0701", "code": "public T next() { if (modification != startModification) { throwConcurrentModificationException(\"modification=\" + modification + \" \" + startModification); } if (next == null) { throw new NoSuchElementException(); }   next.aftere; }", "n_tokens": 82, "n_pass": [112, 8, 7]}
{"time": "2023-09-24 03:09:17.879994", "score": "0.4154", "loss": "1.3192", "code": "public T next() { if (modification != startModification) { throwConcurrentModificationException(\"modification=\" +  \" \" + startModification); } if (next == null) { throw new NoSuchElementException(); }   next.aftere; }", "n_tokens": 79, "n_pass": [116, 9, 8]}
{"time": "2023-09-24 03:09:19.626432", "score": "0.4976", "loss": "1.1365", "code": "public T next() { if (modification != startModification) { throwConcurrentModificationException(\"modification=\" +  \" \" + startModification); } if (next ) { throw new NoSuchElementException(); }   next.aftere; }", "n_tokens": 75, "n_pass": [122, 10, 9]}
{"time": "2023-09-24 03:09:21.314369", "score": "0.4547", "loss": "1.2742", "code": "public T next() { if (modification != startModification) { throwConcurrentModificationException(\"modification=\" +  \" \" + startModification); } if (next ) { NoSuchElementException(); }   next.aftere; }", "n_tokens": 71, "n_pass": [124, 11, 10]}
{"time": "2023-09-24 03:09:23.055278", "score": "0.4488", "loss": "1.4329", "code": "public T next() { if (modification != startModification) { throwConcurrentModificationException(\"modification=\" +  \" \" + startModification); } if (next ) {  }   next.aftere; }", "n_tokens": 67, "n_pass": [125, 12, 11]}
